Institution Name;English Institution Name;Country Code;Institution Category - English;Name of the city;Geographic coordinates - latitude;Geographic coordinates - longitude;Total students enrolled ISCED 5-7
"Национална спортна академия “Васил Левски""";National Sports Academy Vasil Levski;BG;University;Sofia;42,646666;23,349828;2915
"Национална Академия за Театрално и Филмово Изкуство ""Кръстьо Сарафов""";Krastyo Sarafov National Academy for Theatre and Film Arts;BG;University;Sofia;42,692336;23,326081;684
Национална художествена академия;National Academy of Art;BG;University;Sofia;42,695092;23,334188;910
"Национална музикална академия ""Проф. П. Владигеров""";"National Academy of Music ""Prof. Pantcho Vladigerov""";BG;University;Sofia;42,695066;23,347173;637
Нов Български Университет;New Bulgarian University;BG;University;Sofia;42,677864;23,252694;9919
Висше строително училище “Любен Каравелов”;Higher School of Civil Engineering “Lyuben Karavelov“;BG;University;Sofia;42,694728;23,248373;827
"Висше транспортно училище ""Тодор Каблешков""";Todor Kableshkov Higher School of Transport;BG;University;Sofia;42,679081;23,381867;2665
Академия на МВР;Academy of Ministry of Internal Affairs;BG;University;Sofia;42,631508;23,370936;1263
"Военна академия ""Георги Стойков Раковски""";"""G. S. Rakovski"" National Defence Academy";BG;University;Sofia;42,691352;23,347192;841
Университет по библиотекознание и информационни технологии;State University of Library Studies and Information Technologies;BG;University;Sofia;42,657992;23,387811;2234
Висше училище по телекомуникации и пощи;University of Telecommunications and Post;BG;College;Sofia;42,656085;23,347652;1392
Колеж по мениджмънт, търговия и маркетинг;Management, Trade and Marketing College;BG;College;Sofia;42,685132;23,297426;c
"Театрален колеж ""Любен Гройс""";Luben Groys Theatre College;BG;College;Sofia;42,695289;23,346242;43
Висше училище по застраховане и финанси;Higher school of insurance and finances;BG;University;Sofia;42,67049;23,267689;1412
Международно висше бизнес училище;International Business School;BG;University;Botevgrad;42,906769;23,78863;3336
Тракийски Университет;Trakia University;BG;University;Stara Zagora;42,399734;25,571164;6212
Шуменски университет “Епископ Константин Преславски”;Konstantin Preslavsky University of Shumen;BG;University;Shumen;43,27966;26,947925;6399
