Institution Name;English Institution Name;Country Code;Institution Category - English;Total students enrolled ISCED 5-7;Total students enrolled at ISCED 8
Pädagogische Hochschule Thurgau;University of Teacher Education Thurgau;CH;Teacher training university;748;a
Pädagogische Hochschule Schaffhausen;Schaffhausen University of Teacher Education;CH;Teacher training university;184;a
Pädagogische Hochschule Graubünden;Grisons University of Teacher Education;CH;Teacher training university;442;a
Eidgenössisches Hochschulinstitut für Berufsbildung;Swiss Federal Institute for Vocational Education and Training (SFIVET);CH;Teacher training university;512;a
Universitäre Fernstudien Schweiz;Swiss Distance Education University;CH;Other University Institution;1390;a
Pädagogische Hochschule Luzern;Luzern University of Teacher Education;CH;Teacher training university;2197;a
Pädagogische Hochschule Schwyz;Schwyz University of Teacher Education;CH;Teacher training university;366;a
Pädagogische Hochschule Zug;Zug University of Teacher Education;CH;Teacher training university;348;a
Πανεπιστήμιο Κύπρου;University of Cyprus;CY;University;6106;659
Ανοικτό Πανεπιστήμιο Κύπρου;Open University of Cyprus;CY;University;4665;59
Τεχνολογικό Πανεπιστήμιο Κύπρου;Cyprus University of Technology;CY;University;2552;212
Πανεπιστήμιο Λευκωσίας;University of Nicosia;CY;University;10353;168
Πανεπιστήμιο Frederick;Frederick University;CY;University;3516;86
Ευρωπαϊκό Πανεπιστήμιο Κύπρου;European University - Cyprus;CY;University;5101;71
Ανώτερου Ξενοδοχειακού Ινστιτούτου Κύπρου;Higher Hotel Institute of Cyprus;CY;Non-University Institutions of Tertiary Education;261;a
Αστυνομική Ακαδημία Κύπρου;The Cyprus Police Academy;CY;Non-University Institutions of Tertiary Education;0;a
American College;American College;CY;Non-University Institutions of Tertiary Education;1140;a
Casa College;Casa College;CY;Non-University Institutions of Tertiary Education;550;a
C.D.A. College;C.D.A. College;CY;Non-University Institutions of Tertiary Education;1017;a
College of Tourism and Hotel Management;College of Tourism and Hotel Management;CY;Non-University Institutions of Tertiary Education;518;a
Cyprus College;Cyprus College;CY;Non-University Institutions of Tertiary Education;700;a
Cyprus International Institute of Management;Cyprus International Institute of Management;CY;Non-University Institutions of Tertiary Education;263;a
Global College;Global College;CY;Non-University Institutions of Tertiary Education;1100;a
Intercollege;Intercollege;CY;Non-University Institutions of Tertiary Education;284;a
KES College;KES College;CY;Non-University Institutions of Tertiary Education;397;a
Internapa College;Internapa College;CY;Non-University Institutions of Tertiary Education;300;a
The CTL Eurocollege;The CTL Eurocollege;CY;Non-University Institutions of Tertiary Education;494;a
The Philips College;The Philips College;CY;Non-University Institutions of Tertiary Education;483;a
Ledra College;Ledra College;CY;Non-University Institutions of Tertiary Education;224;a
Πανεπιστημιο Νεαπολης;Neapolis University;CY;University;1435;31
The Cyprus Institute;The Cyprus Institute;CY;Non-University Institutions of Tertiary Education;a;31
Cyprus School of Molecular Medicine-The Cyprus Institute of Neurology and Genetics;Cyprus School of Molecular Medicine-The Cyprus Institute of Neurology and Genetics;CY;Non-University Institutions of Tertiary Education;25;27
University of Central Lancashire - Cyprus;University of Central Lancashire - Cyprus;CY;University;654;a
City Unity College Nicosia;City Unity College Nicosia;CY;Non-University Institutions of Tertiary Education;328;a
Akademie múzických umění v Praze;Academy of Performing Arts in Prague;CZ;university;1244;134
Akademie výtvarných umění v Praze;Academy of Fine Arts in Prague;CZ;university;292;25
Česká zemědělská univerzita v Praze;Czech University of Life Sciences, Prague;CZ;university;18504;785
