uni1,uni2,weight
UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II,UNIVERSITA CATTOLICA DEL SACRO CUORE,94
UNIVERSITA CA FOSCARI VENEZIA,UNIVERSITA DI PISA,94
UNIVERSITA DEGLI STUDI DI TORINO,UNIVERSITA DEGLI STUDI DI PARMA,94
UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II,UNIVERSITA DEGLI STUDI DI TRIESTE,94
UNIVERSITA DEGLI STUDI DI CAGLIARI,UNIVERSITA DEGLI STUDI DI PERUGIA,93
UNIVERSITA DEGLI STUDI DI GENOVA,UNIVERSITA DEGLI STUDI DI PERUGIA,93
UNIVERSITA CA FOSCARI VENEZIA,UNIVERSITA DEGLI STUDI DI SIENA,93
UNIVERSITA DI PISA,UNIVERSITA DEGLI STUDI DI CAGLIARI,93
ALMA MATER STUDIORUM  UNIVERSITA DI BOLOGNA,UNIVERSITA DEGLI STUDI DI SASSARI,92
POLITECNICO DI MILANO,UNIVERSITA DEGLI STUDI DI TORINO,92
UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,POLITECNICO DI TORINO,92
UNIVERSITA DEGLI STUDI ROMA TRE,UNIVERSITA DEGLI STUDI DI TRIESTE,92
UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II,UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,92
UNIVERSITA DEGLI STUDI DI MILANO,UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,92
UNIVERSITA DI PISA,UNIVERSITA DEGLI STUDI DI PALERMO,92
UNIVERSITA DEGLI STUDI DI PARMA,UNIVERSITA DEGLI STUDI DI FIRENZE,92
UNIVERSITA DEGLI STUDI DI BERGAMO,ALMA MATER STUDIORUM  UNIVERSITA DI BOLOGNA,91
UNIVERSITA DEGLI STUDI DI TRENTO,UNIVERSITA DEGLI STUDI DI VERONA,91
UNIVERSITA CA FOSCARI VENEZIA,UNIVERSITA DEGLI STUDI DI VERONA,91
UNIVERSITA DEGLI STUDI DI ROMA TOR VERGATA,UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II,91
UNIVERSITA DEGLI STUDI DI TRENTO,UNIVERSITA DEGLI STUDI DI GENOVA,91
POLITECNICO DI MILANO,UNIVERSITA DEGLI STUDI DI GENOVA,91
UNIVERSITA CA FOSCARI VENEZIA,UNIVERSITA DEGLI STUDI DI GENOVA,90
UNIVERSITA DEGLI STUDI DI PERUGIA,UNIVERSITA DEGLI STUDI DI BARI ALDO MORO,90
UNIVERSITA DEGLI STUDI ROMA TRE,UNIVERSITA DEGLI STUDI DI MILANOBICOCCA,90
UNIVERSITA DEGLI STUDI DI CATANIA,UNIVERSITA DEGLI STUDI DI FIRENZE,90
UNIVERSITA DI PISA,UNIVERSITA DEGLI STUDI DI TRIESTE,90
UNIVERSITA DEGLI STUDI DI TRENTO,UNIVERSITA DEGLI STUDI DI PAVIA,90
UNIVERSITA CA FOSCARI VENEZIA,UNIVERSITA DEGLI STUDI DI PAVIA,90
UNIVERSITA DEGLI STUDI DI PAVIA,UNIVERSITA DEGLI STUDI DI SALERNO,89
UNIVERSITA DI PISA,UNIVERSITA DEGLI STUDI DI BARI ALDO MORO,89
UNIVERSITA DEGLI STUDI DI SALERNO,UNIVERSITA DEGLI STUDI DI SIENA,89
UNIVERSITA DEGLI STUDI DI SIENA,UNIVERSITA DEGLI STUDI DI PERUGIA,89
UNIVERSITA DI PISA,UNIVERSITA DEGLI STUDI DI MILANOBICOCCA,88
UNIVERSITA DEGLI STUDI DI PADOVA,UNIVERSITA DEGLI STUDI DI SASSARI,88
UNIVERSITA DEGLI STUDI DI PAVIA,UNIVERSITA DEGLI STUDI DI VERONA,88
UNIVERSITA DEGLI STUDI DI TRENTO,UNIVERSITA DEGLI STUDI DI SALERNO,88
UNIVERSITA DEGLI STUDI DI ROMA TOR VERGATA,UNIVERSITA DEGLI STUDI ROMA TRE,88
UNIVERSITA DEGLI STUDI DI SALERNO,UNIVERSITA DEGLI STUDI DI GENOVA,88
UNIVERSITA DEGLI STUDI DI GENOVA,UNIVERSITA DEGLI STUDI DI SIENA,88
UNIVERSITA DEGLI STUDI ROMA TRE,UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,88
UNIVERSITA DEGLI STUDI DI UDINE,UNIVERSITA DEGLI STUDI DI FIRENZE,87
POLITECNICO DI MILANO,UNIVERSITA DEGLI STUDI DI MILANO,87
UNIVERSITA DEGLI STUDI DI UDINE,UNIVERSITA DEGLI STUDI DI MILANO,87
UNIVERSITA DEGLI STUDI DI CAGLIARI,UNIVERSITA DEGLI STUDI DI PALERMO,87
UNIVERSITA DEGLI STUDI DI PALERMO,UNIVERSITA DEGLI STUDI DI GENOVA,87
UNIVERSITA DEGLI STUDI DI PALERMO,UNIVERSITA DEGLI STUDI DI SIENA,87
UNIVERSITA DEGLI STUDI DI TRENTO,UNIVERSITA DEGLI STUDI DI CAGLIARI,87
UNIVERSITA DEGLI STUDI DI PADOVA,POLITECNICO DI TORINO,87
UNIVERSITA DEGLI STUDI DI PADOVA,UNIVERSITA DEGLI STUDI DI URBINO CARLO BO,86
UNIVERSITA DEGLI STUDI DI CAGLIARI,UNIVERSITA DEGLI STUDI DI SALERNO,86
UNIVERSITA DEGLI STUDI DI PARMA,UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II,86
UNIVERSITA DEGLI STUDI DI GENOVA,UNIVERSITA DEGLI STUDI DI MILANOBICOCCA,86
UNIVERSITA DEGLI STUDI DI SALERNO,UNIVERSITA DEGLI STUDI DI PERUGIA,86
UNIVERSITA DEGLI STUDI DI PALERMO,UNIVERSITA DEGLI STUDI DI PERUGIA,86
UNIVERSITA DEGLI STUDI DI PAVIA,UNIVERSITA DEGLI STUDI DI PALERMO,86
UNIVERSITA DEGLI STUDI ROMA TRE,UNIVERSITA DEGLI STUDI DI CATANIA,86
ALMA MATER STUDIORUM  UNIVERSITA DI BOLOGNA,UNIVERSITA DEGLI STUDI DI NAPOLI LORIENTALE,85
UNIVERSITA DEGLI STUDI DI PAVIA,UNIVERSITA DEGLI STUDI DI SIENA,85
UNIVERSITA DEGLI STUDI ROMA TRE,UNIVERSITA CATTOLICA DEL SACRO CUORE,85
UNIVERSITA DEGLI STUDI DI GENOVA,UNIVERSITA CATTOLICA DEL SACRO CUORE,85
UNIVERSITA DEGLI STUDI DI PERUGIA,UNIVERSITA DEGLI STUDI DI MILANOBICOCCA,85
UNIVERSITA DI PISA,UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,85
UNIVERSITA DEGLI STUDI DI ROMA TOR VERGATA,UNIVERSITA DI PISA,85
UNIVERSITA DEGLI STUDI DI SASSARI,UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,85
UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,UNIVERSITA DEGLI STUDI DI URBINO CARLO BO,85
ALMA MATER STUDIORUM  UNIVERSITA DI BOLOGNA,LUISS LIBERA UNIVERSITA INTERNAZIONALE DEGLI STUDI SOCIALI GUIDO CARLI,85
UNIVERSITA CA FOSCARI VENEZIA,UNIVERSITA DEGLI STUDI DI TRIESTE,85
UNIVERSITA DEGLI STUDI DI ROMA TOR VERGATA,UNIVERSITA DEGLI STUDI DI PERUGIA,85
UNIVERSITA DEGLI STUDI DI TRENTO,UNIVERSITA DEGLI STUDI DI TRIESTE,84
